URL,Generated Files,Original Character Count
"index.html","home-part1.md, home-part2.md",42378
"about.html","about.md",27030
"process.html","process.md",23427
"blog\index.html","blogindex.md",11044
"contact.html","contact.md",24688
"services\asset-management.html","services_asset-management.md",18909
"services\civil-construction.html","services_civil-construction.md",31036
"services\engineering.html","services_engineering.md",42449
"services\gas-conversion.html","services_gas-conversion.md",38470
"services\procurement.html","services_procurement.md",32604
"services\renewable-energy.html","services_renewable-energy.md",29042
"services\tank-cleaning.html","services_tank-cleaning.md",34095
"services\iso-certification\audit.html","services_iso-certification_audit.md",21623
"services\iso-certification\certification.html","services_iso-certification_certification.md",20394
"services\iso-certification\index.html","services_iso-certification_index.md",20444
"services\iso-certification\training.html","services_iso-certification_training.md",27379
